ticker,issuer_cik,accession_number,filing_date,period_of_report,reporting_owner_name,reporting_owner_cik,officer_title,director,ten_percent_owner,security_title,transaction_date,transaction_code,transaction_code_description,transaction_classification,is_open_market_purchase,is_open_market_sale,is_derivative,shares,price_per_share,transaction_value,shares_owned_following,ownership_nature_direct_or_indirect,ownership_nature_explanation
MAIA,0001878313,0001127602-23-008532,2023-03-03,2023-03-01,Smith Stan,0001913199,,True,False,Common Stock,2023-03-02,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,23.0,4.41,101.43,517606.0,I,See Footnote
MAIA,0001878313,0001127602-23-008066,2023-03-02,2023-02-28,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-02-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1275.0,4.49,5724.75,794832.0,D,
MAIA,0001878313,0001127602-23-008066,2023-03-02,2023-02-28,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-03-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,282.0,4.48,1263.3600000000001,795114.0,D,
MAIA,0001878313,0001127602-23-007701,2023-03-01,2023-02-27,Smith Stan,0001913199,,True,False,Common Stock,2023-02-27,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,219.0,4.47,978.93,515766.0,I,See Footnote
MAIA,0001878313,0001127602-23-007701,2023-03-01,2023-02-27,Smith Stan,0001913199,,True,False,Common Stock,2023-02-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1619.0,4.48,7253.120000000001,517385.0,I,See Footnote
MAIA,0001878313,0001127602-23-006606,2023-02-23,2023-02-21,Smith Stan,0001913199,,True,False,Common Stock,2023-02-21,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,228.0,4.49,1023.72,514474.0,I,See Footnote
MAIA,0001878313,0001127602-23-006606,2023-02-23,2023-02-21,Smith Stan,0001913199,,True,False,Common Stock,2023-02-22,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1073.0,4.48,4807.040000000001,515547.0,I,See Footnote
MAIA,0001878313,0001127602-23-006340,2023-02-22,2023-02-17,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-02-17,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,73.0,4.25,310.25,793557.0,D,
MAIA,0001878313,0001127602-23-006047,2023-02-21,2023-02-16,Smith Stan,0001913199,,True,False,Common Stock,2023-02-16,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,62.0,4.25,263.5,514171.0,I,See Footnote
MAIA,0001878313,0001127602-23-006047,2023-02-21,2023-02-16,Smith Stan,0001913199,,True,False,Common Stock,2023-02-17,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,75.0,4.25,318.75,514246.0,I,See Footnote
MAIA,0001878313,0001127602-23-006045,2023-02-21,2023-02-16,Guerrero Ramiro,0001913253,,True,False,Common Stock,2023-02-16,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10.0,4.25,42.5,297474.04,D,
MAIA,0001878313,0001127602-23-006045,2023-02-21,2023-02-16,Guerrero Ramiro,0001913253,,True,False,Common Stock,2023-02-17,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,50.0,4.25,212.5,297524.04,D,
MAIA,0001878313,0001127602-23-006043,2023-02-21,2023-02-16,Luput Cristian,0001913350,,True,False,Common Stock,2023-02-16,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,58.0,4.25,246.5,278654.0,D,
MAIA,0001878313,0001127602-23-006043,2023-02-21,2023-02-16,Luput Cristian,0001913350,,True,False,Common Stock,2023-02-17,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,76.0,4.24,322.24,278730.0,D,
MAIA,0001878313,0001127602-23-005727,2023-02-17,2023-02-15,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-02-15,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10.0,4.25,42.5,793474.0,D,
MAIA,0001878313,0001127602-23-005727,2023-02-17,2023-02-15,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-02-16,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10.0,4.25,42.5,793484.0,D,
MAIA,0001878313,0001127602-23-005440,2023-02-16,2023-02-14,Smith Stan,0001913199,,True,False,Common Stock,2023-02-14,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,198.0,4.25,841.5,514099.0,I,See Footnote
MAIA,0001878313,0001127602-23-005440,2023-02-16,2023-02-14,Smith Stan,0001913199,,True,False,Common Stock,2023-02-15,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10.0,4.25,42.5,514109.0,I,See Footnote
MAIA,0001878313,0001127602-23-005438,2023-02-16,2023-02-14,Luput Cristian,0001913350,,True,False,Common Stock,2023-02-14,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,14.0,4.25,59.5,278586.0,D,
MAIA,0001878313,0001127602-23-005438,2023-02-16,2023-02-14,Luput Cristian,0001913350,,True,False,Common Stock,2023-02-15,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10.0,4.25,42.5,278596.0,D,
MAIA,0001878313,0001127602-23-005033,2023-02-14,2023-02-10,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-02-10,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,343.0,4.24,1454.3200000000002,793464.0,D,
MAIA,0001878313,0001127602-23-005031,2023-02-14,2023-02-10,Smith Stan,0001913199,,True,False,Common Stock,2023-02-10,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,337.0,4.25,1432.25,513901.0,I,See Footnote
MAIA,0001878313,0001127602-23-002395,2023-01-27,2023-01-25,Smith Stan,0001913199,,True,False,Common Stock,2023-01-25,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,9.0,4.25,38.25,513337.0,I,See Footnote
MAIA,0001878313,0001127602-23-002395,2023-01-27,2023-01-25,Smith Stan,0001913199,,True,False,Common Stock,2023-01-26,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,227.0,4.24,962.48,513564.0,I,See Footnote
MAIA,0001878313,0001127602-23-001508,2023-01-18,2023-01-13,Luput Cristian,0001913350,,True,False,Common Stock,2023-01-13,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,504.0,3.88,1955.52,278572.0,D,
MAIA,0001878313,0001127602-23-001010,2023-01-06,2023-01-04,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-01-04,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1266.0,3.68,4658.88,793121.0,D,
MAIA,0001878313,0001127602-23-000224,2023-01-04,2022-12-30,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2022-12-30,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,410.0,3.5,1435.0,789531.0,D,
MAIA,0001878313,0001127602-23-000224,2023-01-04,2022-12-30,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2023-01-03,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,2324.0,3.64,8459.36,791855.0,D,
MAIA,0001878313,0001127602-23-000002,2023-01-03,2022-12-29,Smith Stan,0001913199,,True,False,Common Stock,2022-12-29,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1471.0,3.49,5133.79,512828.0,I,See Footnote
MAIA,0001878313,0001127602-23-000002,2023-01-03,2022-12-29,Smith Stan,0001913199,,True,False,Common Stock,2022-12-30,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,500.0,3.5,1750.0,513328.0,I,See Footnote
MAIA,0001878313,0001127602-22-028331,2022-12-29,2022-12-27,Smith Stan,0001913199,,True,False,Common Stock,2022-12-27,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,604.0,3.38,2041.52,510091.0,I,See Footnote
MAIA,0001878313,0001127602-22-028331,2022-12-29,2022-12-27,Smith Stan,0001913199,,True,False,Common Stock,2022-12-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1266.0,3.41,4317.06,511357.0,I,See Footnote
MAIA,0001878313,0001127602-22-028285,2022-12-27,2022-12-22,Smith Stan,0001913199,,True,False,Common Stock,2022-12-22,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,731.0,3.34,2441.54,508506.0,I,See Footnote
MAIA,0001878313,0001127602-22-028285,2022-12-27,2022-12-22,Smith Stan,0001913199,,True,False,Common Stock,2022-12-23,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,981.0,3.45,3384.4500000000003,509487.0,I,See Footnote
MAIA,0001878313,0001127602-22-028136,2022-12-22,2022-12-20,Smith Stan,0001913199,,True,False,Common Stock,2022-12-20,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,4048.0,3.53,14289.439999999999,507376.0,I,See Footnote
MAIA,0001878313,0001127602-22-028136,2022-12-22,2022-12-20,Smith Stan,0001913199,,True,False,Common Stock,2022-12-21,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,399.0,3.43,1368.5700000000002,507775.0,I,See Footnote
MAIA,0001878313,0001127602-22-027093,2022-12-08,2022-12-07,Gryaznov Sergei,0001913228,Chief Scientific Officer,False,False,Common Stock,2022-12-07,M,Option exercise,OPTION_EXERCISE,False,False,False,10000.0,1.83,18300.0,44511.0,D,
MAIA,0001878313,0001127602-22-026326,2022-11-23,2022-08-01,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,6000.0,5.0,30000.0,789121.0,D,
MAIA,0001878313,0001127602-22-026326,2022-11-23,2022-08-01,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,10000.0,5.0,50000.0,210000.0,I,See Footnote
MAIA,0001878313,0001127602-22-022401,2022-09-13,2022-09-13,Guerrero Ramiro,0001913253,,True,False,Common Stock,2022-09-13,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,8798.73,3.85,33875.1105,297464.04,D,
MAIA,0001878313,0001127602-22-021869,2022-09-01,2022-08-30,Guerrero Ramiro,0001913253,,True,False,Common Stock,2022-08-30,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,283.31,3.97,1124.7407,288665.31,D,
MAIA,0001878313,0000899243-22-029752,2022-08-25,2022-08-24,Gryaznov Sergei,0001913228,Chief Scientific Officer,False,False,Common Stock,2022-08-24,M,Option exercise,OPTION_EXERCISE,False,False,False,10000.0,1.8,18000.0,34511.0,D,
MAIA,0001878313,0000899243-22-027462,2022-08-02,2022-08-01,Smith Stan,0001913199,,True,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,200000.0,5.0,1000000.0,496128.0,I,See Footnote
MAIA,0001878313,0000899243-22-027462,2022-08-02,2022-08-01,Smith Stan,0001913199,,True,False,Common Stock,2022-08-01,J,Other,OTHER_OR_UNCLASSIFIED,False,False,False,7200.0,,,503328.0,I,See Footnote
MAIA,0001878313,0000899243-22-027461,2022-08-02,2022-08-01,Louie Ngar Yee,0001913264,,True,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,20000.0,5.0,100000.0,928584.0,D,
MAIA,0001878313,0000899243-22-027459,2022-08-02,2022-08-01,Obrocea Mihail,0001913265,Chief Medical Officer,False,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,1000.0,5.0,5000.0,27100.0,D,
MAIA,0001878313,0000899243-22-027456,2022-08-02,2022-08-01,CHAOUKI STEVEN M,0001776865,,True,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,5000.0,5.0,25000.0,46250.0,D,
MAIA,0001878313,0000899243-22-027456,2022-08-02,2022-08-01,CHAOUKI STEVEN M,0001776865,,True,False,Common Stock,2022-08-01,J,Other,OTHER_OR_UNCLASSIFIED,False,False,False,8000.0,,,54250.0,D,
MAIA,0001878313,0000899243-22-027455,2022-08-02,2022-08-01,Gryaznov Sergei,0001913228,Chief Scientific Officer,False,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,3000.0,5.0,15000.0,24511.0,D,
MAIA,0001878313,0000899243-22-027454,2022-08-02,2022-08-01,Vitoc Vlad,0001913257,Chief Executive Officer,True,True,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,6000.0,5.0,30000.0,789121.0,D,
MAIA,0001878313,0000899243-22-027453,2022-08-02,2022-08-01,MCGUIRE JOSEPH F,0001243988,Chief Financial Officer,False,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,5000.0,5.0,25000.0,5000.0,D,
MAIA,0001878313,0000899243-22-027452,2022-08-02,2022-08-01,Luput Cristian,0001913350,,True,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,500.0,5.0,2500.0,278068.0,D,
MAIA,0001878313,0000899243-22-027451,2022-08-02,2022-08-01,Vlad Laurentiu,0001913254,,True,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,5000.0,5.0,25000.0,376933.0,D,
MAIA,0001878313,0000899243-22-027444,2022-08-02,2022-07-28,Guerrero Ramiro,0001913253,,True,False,Common Stock,2022-07-28,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,9000.0,4.0,36000.0,268382.0,D,
MAIA,0001878313,0000899243-22-027444,2022-08-02,2022-07-28,Guerrero Ramiro,0001913253,,True,False,Common Stock,2022-08-01,P,Open-market purchase,OPEN_MARKET_PURCHASE,True,False,False,20000.0,5.0,100000.0,288382.0,D,
