ticker,issuer_cik,accession_number,filing_date,seller_name,seller_relationship,securities_to_be_sold,aggregate_market_value,approximate_date_of_sale,broker_name,exchange,notice_date,sale_status,parse_status,error_message
UNKNOWN,0001045810,0001921094-25-000574,2025-05-30,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-05-30,proposed,partial,
UNKNOWN,0001045810,0001958244-25-001868,2025-03-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-03-21,proposed,partial,
UNKNOWN,0001045810,0001950047-25-002097,2025-03-21,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-03-21,proposed,partial,
UNKNOWN,0001045810,0001921094-25-000334,2025-03-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-03-20,proposed,partial,
UNKNOWN,0001045810,0001921094-25-000311,2025-03-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-03-13,proposed,partial,
UNKNOWN,0001045810,0001921094-25-000290,2025-03-10,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-03-10,proposed,partial,
UNKNOWN,0001045810,0001921094-25-000014,2025-01-06,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2025-01-06,proposed,partial,
UNKNOWN,0001045810,0001973251-24-000081,2024-12-16,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-12-16,proposed,partial,
UNKNOWN,0001045810,0001958244-24-005852,2024-12-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-12-13,proposed,partial,
UNKNOWN,0001045810,0001950047-24-009810,2024-12-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-12-13,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001474,2024-11-25,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-11-25,proposed,partial,
UNKNOWN,0001045810,0001961863-24-000324,2024-09-24,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-24,proposed,partial,
UNKNOWN,0001045810,0001958244-24-004564,2024-09-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-20,proposed,partial,
UNKNOWN,0001045810,0001950047-24-007295,2024-09-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-20,proposed,partial,
UNKNOWN,0001045810,0001973251-24-000043,2024-09-20,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-20,proposed,partial,
UNKNOWN,0001045810,0001973251-24-000042,2024-09-19,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-19,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001193,2024-09-13,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-13,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001186,2024-09-12,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-12,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001182,2024-09-11,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-11,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001180,2024-09-10,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-10,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001170,2024-09-09,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-09,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001167,2024-09-06,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-06,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001154,2024-09-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-05,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001153,2024-09-04,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-04,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001146,2024-09-03,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-09-03,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001135,2024-08-30,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-30,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001014,2024-08-09,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-09,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001008,2024-08-08,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-08,proposed,partial,
UNKNOWN,0001045810,0001921094-24-001001,2024-08-07,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-07,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000994,2024-08-06,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-06,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000990,2024-08-05,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-05,proposed,partial,
UNKNOWN,0001045810,0001921094-24-000983,2024-08-02,for Whose Account the Securities are To Be Sold,to Issuer,,,,,COMMIS,2024-08-02,proposed,partial,
